Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
hv,60427601,1,"Monday, November  5, 2012 20:03:30 UTC",19.4308,-155.4822,1.8,8.60,10,"Island of Hawaii, Hawaii"
ci,15241585,0,"Monday, November  5, 2012 19:31:14 UTC",35.0000,-117.7177,1.4,0.00,24,"Southern California"
nc,71876240,0,"Monday, November  5, 2012 19:24:53 UTC",39.0745,-123.3160,2.2,1.30,13,"Northern California"
ci,15241577,0,"Monday, November  5, 2012 19:18:32 UTC",33.0293,-116.4252,1.4,6.30,30,"Southern California"
ci,15241569,0,"Monday, November  5, 2012 18:44:33 UTC",34.3375,-116.8807,1.6,0.50,37,"Southern California"
nc,71876200,0,"Monday, November  5, 2012 18:40:41 UTC",38.7932,-122.7575,1.0,3.60,12,"Northern California"
nc,71876195,0,"Monday, November  5, 2012 18:35:04 UTC",37.6335,-118.8800,1.4,8.70,21,"Long Valley area, California"
ak,10593669,1,"Monday, November  5, 2012 18:19:38 UTC",60.0043,-152.9873,2.1,5.60, 6,"Southern Alaska"
ci,15241561,0,"Monday, November  5, 2012 17:43:46 UTC",35.9422,-117.7013,1.4,1.90,18,"Central California"
ci,15241553,0,"Monday, November  5, 2012 17:42:45 UTC",35.9478,-117.7065,1.9,4.00, 8,"Central California"
ci,15241545,0,"Monday, November  5, 2012 17:42:33 UTC",33.7027,-116.8062,1.6,19.20,90,"Southern California"
nc,71876150,3,"Monday, November  5, 2012 17:40:55 UTC",36.8948,-121.4060,2.2,9.40,74,"Central California"
ak,10593631,1,"Monday, November  5, 2012 17:21:36 UTC",64.6652,-149.6041,2.3,16.50,14,"Central Alaska"
hv,60427576,1,"Monday, November  5, 2012 16:58:38 UTC",18.9827,-155.4505,1.7,37.10,22,"Hawaii region, Hawaii"
ci,15241537,0,"Monday, November  5, 2012 16:53:31 UTC",33.5087,-116.4840,1.6,17.90,56,"Southern California"
nc,71876125,0,"Monday, November  5, 2012 16:50:39 UTC",36.0840,-120.6865,1.4,2.10,12,"Central California"
ci,15241521,0,"Monday, November  5, 2012 16:49:42 UTC",34.2513,-117.0480,1.7,6.70,85,"Southern California"
us,2012hpax,6,"Monday, November  5, 2012 16:46:00 UTC",6.7440,-72.8694,4.5,161.50,103,"northern Colombia"
ci,15241497,0,"Monday, November  5, 2012 16:40:14 UTC",32.7710,-115.8417,1.5,9.00,26,"Southern California"
ci,15241465,0,"Monday, November  5, 2012 16:23:53 UTC",33.5825,-117.3543,1.6,5.00,16,"Southern California"
us,2012hpaw,B,"Monday, November  5, 2012 16:12:16 UTC",-4.1348,142.1339,4.5,107.30,34,"New Guinea, Papua New Guinea"
nc,71876105,1,"Monday, November  5, 2012 16:11:53 UTC",39.2327,-120.1045,2.2,6.30,18,"Northern California"
nn,00392926,9,"Monday, November  5, 2012 16:05:46 UTC",40.1028,-119.9802,1.4,13.10,20,"Nevada"
us,2012hpau,5,"Monday, November  5, 2012 15:13:55 UTC",37.0568,-104.9402,2.9,5.00,16,"Colorado"
ak,10593580,1,"Monday, November  5, 2012 15:05:36 UTC",60.1987,-153.9207,2.8,189.10,17,"Southern Alaska"
ci,15241449,0,"Monday, November  5, 2012 15:00:47 UTC",33.1948,-116.0497,1.6,6.60,79,"Southern California"
nc,71876060,3,"Monday, November  5, 2012 14:03:45 UTC",38.7755,-122.7462,2.4,3.10,80,"Northern California"
ak,10593564,2,"Monday, November  5, 2012 13:47:02 UTC",61.7736,-150.5166,2.6,49.00,25,"Southern Alaska"
us,2012hpas,4,"Monday, November  5, 2012 13:40:29 UTC",23.7640,121.5074,4.6,14.20,33,"Taiwan"
ak,10593558,1,"Monday, November  5, 2012 13:36:19 UTC",62.0911,-147.6779,2.3,30.80,20,"Central Alaska"
ci,15241425,1,"Monday, November  5, 2012 13:33:29 UTC",33.9780,-117.1887,1.3,7.60,47,"Greater Los Angeles area, California"
us,b000dkje,7,"Monday, November  5, 2012 13:07:58 UTC",28.3694,86.1169,4.5,65.70,53,"western Xizang"
ak,10593550,1,"Monday, November  5, 2012 12:56:36 UTC",63.4834,-150.9152,1.6,0.00, 6,"Central Alaska"
ak,10593534,2,"Monday, November  5, 2012 12:41:14 UTC",60.8590,-152.5210,3.9,123.20,41,"Southern Alaska"
us,b000dkj6,2,"Monday, November  5, 2012 12:21:27 UTC",13.8264,-90.6112,4.4,76.40,65,"offshore Guatemala"
ak,10593524,1,"Monday, November  5, 2012 12:02:19 UTC",61.3196,-146.8553,2.3,19.80,31,"Southern Alaska"
us,b000dkil,3,"Monday, November  5, 2012 11:59:27 UTC",1.4982,128.3379,4.8,72.50,39,"Halmahera, Indonesia"
nc,71876005,1,"Monday, November  5, 2012 11:29:45 UTC",38.7933,-122.7578,2.1,4.30,39,"Northern California"
nn,00392902,9,"Monday, November  5, 2012 11:15:52 UTC",38.0397,-118.4815,1.7,12.20,15,"Nevada"
us,b000dki8,5,"Monday, November  5, 2012 10:36:17 UTC",2.6283,128.7108,4.7,46.00,43,"Halmahera, Indonesia"
ak,10593514,1,"Monday, November  5, 2012 10:10:50 UTC",63.2140,-149.9104,2.1,106.90,23,"Central Alaska"
ci,15241417,0,"Monday, November  5, 2012 10:08:10 UTC",32.7080,-116.3643,1.7,15.80,19,"Southern California"
ak,10593510,1,"Monday, November  5, 2012 09:45:04 UTC",63.0948,-150.8397,1.5,60.30, 4,"Central Alaska"
us,b000dkhv,8,"Monday, November  5, 2012 09:38:04 UTC",-37.8300,177.5600,4.1,42.00, 0,"off the east coast of the North Island of New Zealand"
pr,12310002,0,"Monday, November  5, 2012 09:31:36 UTC",19.2476,-64.0402,3.1,93.00, 3,"Virgin Islands region"
ak,10593504,1,"Monday, November  5, 2012 09:16:31 UTC",64.4044,-147.4672,1.3,9.20,11,"Central Alaska"
ak,10593500,1,"Monday, November  5, 2012 09:12:33 UTC",59.9667,-140.0681,1.6,18.40, 6,"Southeastern Alaska"
ci,15241401,0,"Monday, November  5, 2012 09:02:59 UTC",34.0527,-117.1898,1.5,13.60,36,"Greater Los Angeles area, California"
ci,15241393,0,"Monday, November  5, 2012 08:54:13 UTC",33.8855,-116.6727,1.5,14.30,66,"Southern California"
